Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$2.85,0.35,14.00%,7280359.00,United States,,2381,Finance,Real Estate
ACU,Acme United Corporation. Common Stock,$39.53,-0.02,-0.051%,144754116.00,United States,1988,11105,Consumer Discretionary,Industrial Machinery/Components
ADRT,Ault Disruptive Technologies Corporation Common Stock,$16.21,-1.79,-9.944%,233018750.00,,2022,37827,Finance,Blank Checks
AE,Adams Resources & Energy Inc. Common Stock,$27.21,0.21,0.778%,69850900.00,United States,1980,2444,Energy,Oil Refining/Marketing
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.21,-0.10,-1.883%,559358625.00,United States,,19459,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$2.64,0.10,3.937%,103282708.00,United States,,448935,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.3523,-0.0274,-7.216%,18066450.00,United States,1997,1098151,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$4.97,-0.01,-0.201%,17049585.00,United States,2014,114812,Consumer Discretionary,Professional Services
AIRI,Air Industries Group Common Stock,$3.54,0.03,0.855%,11769739.00,United States,,7760,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$3.511,0.291,9.037%,194614207.00,,,15026,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$1.2801,0.00,0.00%,3656447.00,China,,85,Real Estate,Other Consumer Services
AMS,American Shared Hospital Services Common Stock,$3.28,-0.009,-0.274%,20762400.00,United States,1988,2572,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$5.835,-0.30,-4.89%,68203565.00,Canada,2000,56743,Health Care,Industrial Specialties
AREN,The Arena Group Holdings Inc. Common Stock,$0.9255,0.0105,1.148%,27394739.00,United States,2022,1635,Technology,EDP Services
ARMN,Aris Mining Corporation Common Shares,$4.23,-0.12,-2.759%,715822867.00,,2023,242938,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$2.93,-0.07,-2.333%,105933028.00,United States,,3319,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.04,0.01,0.971%,138390933.00,Canada,,1240949,Basic Materials,Metal Mining
ASXC,Asensus Surgical Inc. Common Stock,$0.3381,-0.0008,-0.236%,92075339.00,United States,,2606694,Health Care,Medical/Dental Instruments
ATCH,AtlasClear Holdings Inc. Common Stock,$0.4199,-0.1351,-24.342%,5229920.00,,2024,609730,Finance,Finance: Consumer Services
ATEK,Athena Technology Acquisition Corp. II Class A Common Stock,$11.39,0.00,0.00%,0.00,,2022,52,Finance,Blank Checks
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$7.74,-0.26,-3.25%,230523911.00,United States,,467523,Health Care,Biotechnology: Pharmaceutical Preparations
AULT,Ault Alliance Inc. Common Stock,$0.2878,-0.001,-0.346%,8652805.00,United States,1997,1410633,Technology,Industrial Machinery/Components
AULT^D,Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$26.70,0.00,0.00%,,United States,,2,,
AUMN,Golden Minerals Company Common Stock,$0.4263,-0.0068,-1.57%,6213828.00,United States,,42896,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,$1.06,0.02,1.923%,14068055.00,,2022,11744,Basic Materials,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$2.20,-0.0001,-0.005%,8578748.00,United States,1998,4042,Utilities,Environmental Services
AXIL,AXIL Brands Inc. Common Stock,$6.47,-0.21,-3.144%,38036735.00,,2024,29243,Consumer Discretionary,Package Goods/Cosmetics
AZTR,Azitra Inc Common Stock,$1.17,-3.80,-76.459%,1123381.00,,2023,16026280,Health Care,Biotechnology: Pharmaceutical Preparations
BACA,Berenson Acquisition Corp. I Class A Common Stock,$10.66,0.00,0.00%,0.00,,2021,47,Finance,Blank Checks
BATL,Battalion Oil Corporation Common Stock,$3.46,-0.14,-3.889%,56939708.00,United States,,10433,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$15.79,-0.46,-2.831%,0.00,United States,1972,15114,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$22.54,0.12,0.535%,,United States,,1167,,
BDL,Flanigan's Enterprises Inc. Common Stock,$27.96,0.00,0.00%,51967770.00,United States,1972,307,Consumer Discretionary,Restaurants
BEEP,Mobile Infrastructure Corporation Common Stock,$3.01,-0.07,-2.273%,0.00,,2023,50998,Finance,Blank Checks
BGI,Birks Group Inc. Common Stock,$2.58,-0.0199,-0.765%,49448200.00,Canada,,2464,Consumer Discretionary,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$31.80,-0.87,-2.663%,484391115.00,United States,1997,49293,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$18.385,-0.04,-0.217%,72772187.00,,2022,378,Real Estate,Real Estate Investment Trusts
BKTI,BK Technologies Corporation Common Stock,$12.969,-0.081,-0.621%,45776835.00,United States,,9112,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$2.97,0.04,1.365%,35796103.00,,2018,132362,Finance,Major Banks
BQ,Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares,$0.3639,0.0139,3.971%,2368318.00,,2020,235184,Consumer Discretionary,Other Specialty Stores
BRBS,Blue Ridge Bankshares Inc. Common Stock,$2.78,0.02,0.725%,63891689.00,United States,,177873,Finance,Major Banks
BRN,Barnwell Industries Inc. Common Stock,$2.34,0.09,4.00%,23465731.00,United States,1965,6392,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$2.94,-0.03,-1.01%,3841382285.00,Canada,,8338969,Basic Materials,Precious Metals
BTTR,Better Choice Company Inc. Common Stock,$3.30,-0.32,-8.84%,2948887.00,,2021,52594,Consumer Staples,Beverages (Production/Distribution)
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$3.69,0.08,2.216%,16725999.00,Israel,,155468,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$12.82,-0.13,-1.004%,863791498.00,United States,,639843,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$7.62,-0.12,-1.55%,61430809.00,United States,2022,3890,Health Care,Misc Health and Biotechnology Services
CEI,Camber Energy Inc. Common Stock,$0.124,-0.0054,-4.173%,21799258.00,United States,,2621596,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$43.3748,-0.9352,-2.111%,10497794645.00,United States,1951,34511,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$10.92,-0.0211,-0.193%,76806639.00,United States,1999,6772,Finance,Finance/Investors Services
CHRO,Chromocell Therapeutics Corporation Common Stock,$1.17,-0.085,-6.773%,6747044.00,,2024,26740,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.97,-0.06,-1.98%,0.00,United States,,668392,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$24.62,0.54,2.243%,303164697.00,United States,1998,7030,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$13.20,0.1001,0.764%,26756822.00,United States,2003,11101,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$1.6717,-0.0283,-1.665%,10730833.00,,2021,347355,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$7.70,-0.09,-1.155%,0.00,United States,2003,1496267,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$11.58,-0.12,-1.026%,222197885.00,Canada,,55543,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$17.77,-0.25,-1.387%,162500253.00,United States,1996,29995,Industrials,Plastic Products
CNDA,Concord Acquisition Corp II Class A Common Stock,$10.53,0.00,0.00%,0.00,,2021,101,Finance,Blank Checks
CNL,Collective Mining Ltd. Common Shares,$2.63,-0.02,-0.755%,179327794.00,,2024,2284,,
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$18.20,2.055,12.728%,104134394.00,China,2016,48605,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$9.58,-0.13,-1.339%,18459108.00,United States,,6975,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.2568,-0.0015,-0.581%,4075434.00,China,,60023,Health Care,Biotechnology: Pharmaceutical Preparations
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.74,-0.08,-1.023%,0.00,United States,2003,512948,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$22.35,-0.82,-3.539%,215268137.00,United States,2021,50664,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$0.1503,-0.0154,-9.294%,7970396.00,,2022,1743987,Consumer Discretionary,Professional Services
CVM,Cel-Sci Corporation Common Stock,$1.35,-0.09,-6.25%,73115915.00,United States,1997,129693,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$15.25,0.00,0.00%,14733513.00,United States,1930,2678,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$2.3914,-0.0386,-1.588%,30745213.00,United States,2022,4812,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$0.2845,-0.0109,-3.69%,216132515.00,Canada,,2292273,Health Care,Biotechnology: Pharmaceutical Preparations
DC,Dakota Gold Corp. Common Stock,$2.32,-0.12,-4.918%,203483198.00,United States,2022,162353,Basic Materials,Metal Mining
DDC,DDC Enterprise Limited Class A Ordinary Shares,$0.615,0.01,1.653%,12252687.00,,2023,33954,Consumer Staples,Packaged Foods
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.04,-0.01,-0.488%,0.00,United States,1998,617238,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$155.99,5.00,3.311%,98330168.00,United States,1999,856,Consumer Discretionary,Food Distributors
DMF,BNY Mellon Municipal Income Inc. Common Stock,$7.165,-0.025,-0.348%,446313969.00,United States,1988,12158,Finance,Finance/Investors Services
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,$10.74,0.02,0.187%,0.00,,2022,320,Finance,Blank Checks
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.90,-0.06,-3.061%,1695290705.00,Canada,,15390718,Basic Materials,Other Metals and Minerals
DSS,DSS Inc. Common Stock,$1.5104,-0.0396,-2.555%,10673652.00,United States,,2320,Consumer Discretionary,Containers/Packaging
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$0.1555,-0.0265,-14.56%,3480833.00,China,,1694576,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$6.81,-0.02,-0.293%,0.00,United States,2003,114270,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$8.33,-0.16,-1.885%,0.00,United States,1986,50737,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$21.87,-0.0911,-0.415%,,United States,,215,,
EFSH,1847 Holdings LLC Common Shares,$2.645,0.635,31.592%,1434704.00,,2022,234791,Consumer Discretionary,Professional Services
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$10.325,-0.015,-0.145%,0.00,United States,2002,104808,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$4.99,0.07,1.423%,131119371.00,United States,,14764,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$12.00,-0.02,-0.166%,154231020.00,Israel,,1357,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$14.91,-0.64,-4.116%,129056890.00,United States,2011,29424,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMX,EMX Royalty Corporation Common Shares (Canada),$1.83,-0.005,-0.272%,207747939.00,Canada,,212152,Basic Materials,Metal Mining
ENSV,Enservco Corporation Common Stock,$0.19,-0.0012,-0.628%,5250935.00,United States,,481709,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.79,-0.12,-1.211%,0.00,United States,2002,32255,Finance,Finance/Investors Services
EP,Empire Petroleum Corporation Common Stock,$5.35,-0.06,-1.109%,162537847.00,United States,2022,37883,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$5.61,-0.10,-1.751%,187136316.00,United States,,257162,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$5.47,-0.06,-1.085%,2343348000.00,Canada,,2132270,Basic Materials,Precious Metals
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.01,-0.05,-0.552%,0.00,United States,2003,77755,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$10.0601,0.0701,0.702%,0.00,,2004,6448,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$21.75,-0.35,-1.584%,59437574.00,United States,1960,9415,Technology,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$32.95,-0.20,-0.603%,181917247.00,United States,,27522,Finance,Major Banks
EVE,EVe Mobility Acquisition Corp Class A Ordinary Shares,$11.05,-0.02,-0.181%,0.00,,2022,137,Finance,Blank Checks
EVI,EVI Industries Inc.  Common Stock,$20.10,-0.37,-1.808%,254887236.00,United States,1999,20708,Consumer Discretionary,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.525,-0.055,-0.574%,0.00,United States,2002,10142,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$9.72,-0.08,-0.816%,0.00,United States,2003,419844,Finance,Finance/Investors Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$2.76,-0.06,-2.128%,0.00,United States,1986,1420027,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$6.142,-0.118,-1.885%,0.00,United States,1992,83172,Finance,Investment Managers
FLYX,flyExclusive Inc. Class A Common Stock,$4.12,0.07,1.728%,320626727.00,,2023,1979,Consumer Discretionary,Transportation Services
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.2248,-0.0068,-2.936%,2535779.00,,2022,154099,Finance,Life Insurance
FRD,Friedman Industries Inc. Common Stock,$17.08,-0.61,-3.448%,119042391.00,United States,1975,7035,Industrials,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$1.99,0.02,1.015%,24776559.00,Canada,2002,30330,Industrials,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$1.68,-0.06,-3.448%,173762993.00,United States,,721069,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.52,-0.01,-0.153%,263443038.00,United States,2003,127539,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.408,0.0027,0.666%,59599458.00,,2020,31019,Basic Materials,Precious Metals
GAU,Galiano Gold Inc.,$1.76,-0.02,-1.124%,447265489.00,Canada,,1215464,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GBR,New Concept Energy Inc Common Stock,$1.52,-0.03,-1.935%,7800540.00,United States,1993,4457,Energy,Oil & Gas Production
GENC,Gencor Industries Inc. Common Stock,$21.73,-0.40,-1.808%,318511864.00,United States,,38913,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$4.14,0.025,0.608%,0.00,United States,2005,485317,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$20.85,-0.06,-0.287%,,United States,,15456,,
GLDG,GoldMining Inc. Common Shares,$0.8841,-0.0018,-0.203%,166852114.00,,,248971,Basic Materials,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$5.27,-0.08,-1.495%,0.00,United States,2006,211881,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$6.75,-0.20,-2.878%,0.00,United States,2005,106050,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$14.635,-0.035,-0.239%,87355012.00,United States,2004,13410,Finance,Finance/Investors Services
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$47.33,0.00,0.00%,,United States,,20,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$50.15,-0.01,-0.02%,,United States,,3673,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.64,-0.10,-1.742%,71682048.00,United States,2004,55488,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.2298,-0.0021,-0.906%,16976196.00,Singapore,2022,1237141,Consumer Discretionary,Services-Misc. Amusement & Recreation
GORO,Gold Resource Corporation Common Stock,$0.4503,0.0062,1.396%,40883384.00,United States,,216264,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.36,-0.05,-0.531%,0.00,United States,,7037,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$0.2814,-0.0086,-2.966%,218773558.00,,2022,16493,,
GROY,Gold Royalty Corp. Common Shares,$1.38,-0.03,-2.128%,201348511.00,Canada,2021,725459,Basic Materials,Precious Metals
GSAT,Globalstar Inc. Common Stock,$1.19,-0.07,-5.556%,2261000000.00,United States,2006,3478653,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$9.41,-0.21,-2.183%,294835851.00,Canada,,267480,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Class A Common Stock,$2.725,-0.075,-2.679%,0.00,,2022,9671,Energy,Oil & Gas Production
HNW,Pioneer Diversified High Income Fund Inc.,$11.79,-0.01,-0.085%,0.00,United States,2007,12544,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$1.23,0.03,2.50%,13414814.00,United States,,116324,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$56.4459,0.00,0.00%,,United States,,364,,
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.335,-0.085,-1.923%,0.00,United States,1985,86104,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$1.07,-0.03,-2.727%,411839496.00,Canada,2022,3940306,Basic Materials,Precious Metals
IBIO,iBio Inc. Common Stock,$2.15,-0.17,-7.328%,18540903.00,United States,,52580,Health Care,Biotechnology: Pharmaceutical Preparations
IDR,Idaho Strategic Resources Inc. Common Stock,$11.08,-0.12,-1.071%,141163211.00,,2022,66770,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$9.86,-0.37,-3.617%,1186221242.00,Canada,2022,334543,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.468,-0.0064,-1.349%,35397844.00,United States,,138805,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.502,0.082,5.775%,13553757.00,United States,1999,1995,Finance,Investment Bankers/Brokers/Service
IMO,Imperial Oil Limited Common Stock,$70.11,0.79,1.14%,37567518258.00,Canada,1929,309761,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$2.15,0.01,0.467%,21935792.00,,2019,76915,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$6.90,-0.05,-0.719%,146937253.00,United States,,76398,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$7.26,-0.11,-1.493%,29864888.00,,2022,618,Technology,Computer Software: Prepackaged Software
INTT,inTest Corporation Common Stock,$10.69,-0.03,-0.28%,133514273.00,United States,1997,82889,Industrials,Electrical Products
INUV,Inuvo Inc.,$0.292,-0.004,-1.351%,40846128.00,United States,,414684,Consumer Discretionary,Advertising
